	mmoX	mmoY	mmoZ	mmoB	mmoC	mmoD	pmoA-amoA	pmoB-amoB	pmoC-amoC	mdh1,mxaF	mxaJ	mxaG	mdh2,mxaI	mxaA	mxaC	mxaK	mxaL	mxaD	fdhA	mdo	gfa	frmA,ADH5,adhC	frmB,ESD,fghA	FDH	fdoG,fdhF,fdwA	fdoH,fdsB	fdoI,fdsG	fdsD	fdhB	fdhA	fdhB	cdhA	cdhB	cdhC	cdhE,acsC	cdhD,acsD	cooS,acsA	cooF	glyA,SHMT	AGXT	hprA	gck,gckA,GLYCTK	ENO,eno	ppc	mdh	mtkB	mtkA	mcl	DAK,TKFC	ALDO	fbaB	FBA,fbaA	K01622	K16305	K16306	FBP,fbp	glpX	glpX-SEBP	fbp-SEBP	fbp3	pfkA,PFK	pfkB	pfkC	hxlB	hxlA	fae-hps	hps-phi	dmd-tmd	tmm	torA	torC	torD	torY	torZ	mauA	mauB	qhpA	fwdA,fmdA	fwdB,fmdB	fwdC,fmdC	fwdD,fmdD	fwdH	fwdF,fmdF	fwdG	fwdE,fmdE	ftr	mch	mtd	frhA	frhB	frhD	frhG	mtdB	fae	mer	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG	mtrH	mcrA	K00400	mcrB	mcrG	mcrC	mcrD	hdrA2	hdrB2	hdrC2	hdrD	hdrE	mvhD,vhuD,vhcD	mvhA,vhuA,vhcA	mvhG,vhuG,vhcG	ackA	pta	pta	ACSS1_2,acs	porA	porB	porC,porG	vorG,porG	porD	pps,ppsA	PGAM,gpmA	gpmB	gpmI	apgM	serA,PHGDH	serC,PSAT1	serB,PSPH	thrH	mtaA	mtaB	mtaC	mtbA	mttB	mttC	mtmB	mtmC	mtbB	mtbC	comA	comB	comC	comD	comE	fbiC	cofH	cofG	cofC,fbiD	cofD	cofE	cofF	aksA	aksD	aksE	aksF	mfnA,adc	mfnD	mfnB	mfnE	mfnF
KS-C1-L1	0.0	0.0	0.0	0.0	0.0	0.0	234.5	234.5	552.5	1146.5	1146.5	1268.5	1146.5	1152.5	407.5	1152.5	1152.5	1157.0	475.33	15.0	0.0	11974.32	3872.8	3345.0	57577.94	14032.95	4402.4	2056.0	721.67	19120.97	159.0	201.0	199.0	199.0	8992.220000000001	8877.92	14438.28	2354.67	44813.02999999999	3700.83	7449.42	290.0	43820.94999999999	12302.63	41479.3	1256.0	1256.0	4438.67	217.08	3803.0	10531.41	18580.84	1275.5	7.5	209.0	9579.58	8135.42	4193.0	2.0	353.07	52044.92999999999	512.65	0.0	355.5	34.5	199.0	12.0	57.0	374.5	41.4	4456.57	50.4	41.4	50.4	339.0	328.0	2.5	1453.0	1450.5	1255.5	201.0	0.0	87.0	4.0	16724.65	1448.5	1256.0	2.0	0.0	5982.0	869.5	0.0	1254.0	1429.0	518.5799999999999	9.0	4.0	4.0	4.0	4.0	2.0	4.0	205.0	85.0	89.0	85.0	85.0	2.0	4.0	44766.170000000006	18139.18	7886.54	89.0	6.0	6606.17	3081.0	2178.0	23398.44	3456.6600000000003	2165.65	54739.10999999999	11937.91	12801.34	12871.91	244.0	5319.67	36710.69	7959.809999999999	46634.25	25203.869999999995	10699.34	60258.39	25458.160000000003	8984.66	5448.67	16.25	0.0	0.0	0.0	6108.34	197.0	0.0	0.0	0.0	0.0	682.8	3186.13	0.0	13.83	41.83	3545.08	7.0	5.0	2635.83	7201.08	7426.08	62.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
KS-C1-L10	0.0	0.0	0.0	0.0	0.0	0.0	148.5	148.5	340.5	1225.0	1225.0	1361.0	1225.0	1227.0	487.0	1227.0	1227.0	1229.5	353.0	0.0	0.0	10637.04	2959.37	3593.17	57972.11	13577.36	4653.27	2336.5	609.34	20276.09	162.5	120.0	120.0	120.0	9297.09	9187.84	15065.69	3142.86	44289.40999999999	3861.0	5404.110000000001	548.0	43600.73999999999	10128.320000000002	39173.47	1278.0	1278.0	4377.01	205.33	3543.0	10359.29	16824.48	2494.0	10.5	121.0	7953.620000000001	8448.970000000001	4099.17	4.0	395.52	52083.30999999998	536.9300000000001	0.0	418.5	65.5	120.0	5.0	2.0	231.0	10.1	4252.9400000000005	10.1	10.6	10.6	450.0	445.0	8.0	1710.5	1706.0	1586.0	120.0	0.0	48.0	0.0	15753.44	1706.0	1588.5	0.0	0.0	5329.0	853.0	0.0	1588.5	1692.0	311.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	48.0	48.0	48.0	48.0	0.0	0.0	44958.15	18044.77	9428.59	48.0	0.0	7424.84	3802.0	3100.0	21738.54	3599.69	1927.1	53277.41999999999	11760.84	12821.84	13168.84	257.0	6064.84	35632.11	8069.110000000001	51370.42999999999	22649.899999999998	11063.67	61638.44999999999	22983.55	8191.460000000001	4874.84	1.33	0.0	0.0	0.0	6306.35	120.0	0.0	0.0	0.0	0.0	693.25	3125.77	0.0	39.0	59.0	3288.0	1.0	5.0	2759.5	9037.0	9176.0	194.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KS-C1-L5	0.0	0.0	0.0	0.0	0.0	0.0	49.5	49.5	137.5	494.5	501.5	524.5	494.5	499.5	115.5	499.5	499.5	509.0	495.17	0.0	7.0	3583.26	1587.17	1350.5	62195.98	8269.95	2793.3	796.0	556.0	22843.410000000003	167.75	141.0	141.0	141.0	14991.53	14812.38	20328.46	8856.7	44783.48	1876.84	4353.24	1974.0	43880.98	6042.5	34899.149999999994	529.5	529.5	1508.0	75.75	1263.0	7654.999999999999	14101.419999999998	9480.0	45.0	163.0	7414.25	3339.15	1490.5	4.0	570.15	51547.27	236.0	0.0	268.5	67.5	141.0	28.0	41.0	458.0	37.17	2325.55	37.17	37.17	37.67	144.0	141.0	52.0	700.0	694.5	553.5	141.0	0.0	47.0	0.0	15040.03	694.5	559.38	0.0	0.0	3006.0	627.0	0.0	559.0	597.5	244.33	5.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	59.0	59.0	59.0	59.0	12.0	12.0	48530.83	22311.05	14820.65	47.0	0.0	11783.5	8869.0	8307.0	17949.82	2664.32	1537.75	48877.810000000005	17487.75	20297.75	20270.75	166.0	13708.75	34275.64	4073.33	54174.22	16994.15	19606.0	59024.18	15576.96	5378.63	4433.0	30.5	0.0	0.0	0.0	4781.0	141.0	0.0	0.0	0.0	0.0	346.65	2111.4700000000003	0.0	19.67	34.0	795.33	5.0	5.0	556.83	8643.0	8848.0	20.0	12.0	1.67	13.0	12.0	12.0	0.0	0.0	0.0	0.0
KS-C2-L1	0.0	0.0	0.0	0.0	0.0	0.0	131.0	131.0	246.0	395.5	395.5	627.5	395.5	401.5	127.5	401.5	401.5	401.5	210.5	3.0	0.0	12920.509999999998	4528.5	2431.5	49350.5	10543.999999999998	3907.0	1141.0	219.0	15683.0	170.5	79.0	79.0	79.0	7080.5	6937.0	9678.0	1664.0	44526.34	2272.5	8671.83	59.0	44127.34	13269.34	43304.84	621.5	621.5	3867.5	149.0	2605.0	7919.009999999999	17196.83	1168.5	4.5	87.0	11066.34	7138.5	4753.5	2.0	43.17	48771.18	529.83	0.0	245.0	12.0	79.0	6.0	16.0	179.0	10.0	2000.0	10.0	10.0	10.0	73.5	65.0	28.0	474.5	474.5	397.5	79.0	0.0	49.0	2.0	11618.5	474.5	397.5	2.0	0.0	2765.0	242.0	0.0	395.5	478.5	160.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	50.0	50.0	50.0	50.0	3.0	3.0	23960.0	13920.0	4272.5	47.0	0.0	3522.0	2323.0	1317.0	23332.5	1950.5	700.0	51770.68	12754.5	13966.5	13850.5	237.0	6559.0	30468.700000000004	6511.829999999999	46135.85	24892.340000000004	13633.5	58321.17999999999	22603.17	8713.839999999998	2957.0	0.5	0.0	0.0	0.0	3712.5	77.0	0.0	0.0	0.0	0.0	628.33	1946.33	0.0	6.5	93.17	3437.0	4.0	25.0	1509.0	6795.0	6961.0	4.0	3.0	1.0	4.0	3.0	5.0	2.0	2.0	2.0	2.0
KS-C2-L10	0.0	0.0	0.0	0.0	0.0	0.0	21.0	21.0	63.0	297.5	297.5	313.5	297.5	297.5	78.5	297.5	297.5	297.5	927.17	18.0	3.0	2309.9700000000003	1298.1	675.0	56642.99999999999	5226.950000000001	870.8	412.5	85.0	21501.15	1259.5	1068.34	1068.34	1067.67	18997.74	18839.09	22918.39	11704.42	44958.79000000001	623.0	3252.25	2084.0	44278.79000000001	3316.24	34360.04	307.5	307.5	560.5	31.0	490.5	6417.97	11548.949999999995	14696.5	1222.17	1191.34	5973.97	1938.17	605.5	17.0	354.75	49080.94	118.8	1.34	1239.67	7.0	1067.67	89.67	0.0	750.0	10.8	656.8	10.8	10.8	10.8	299.0	281.0	32.0	1405.84	1407.18	340.51	1069.01	0.0	801.01	2.34	12958.91	1405.17	339.17	1.67	0.67	1833.01	27.17	0.67	337.5	359.17	1119.67	29.34	0.67	0.67	0.67	0.67	0.67	0.67	1070.34	861.67	862.34	861.67	861.67	63.67	63.67	50449.28999999999	27792.06	21266.49	798.67	0.67	16061.5	12761.5	13478.5	13765.619999999995	2258.17	2284.8	47742.86	23294.17	25337.84	25348.17	33.0	21239.17	35741.740000000005	2672.4700000000003	55513.61	15063.96	25304.17	57183.880000000005	10496.889999999998	4740.39	1918.5	6.69	2.01	2.01	0.67	2573.34	1067.34	2.68	1.34	4.0200000000000005	1.34	277.15	1688.15	0.0	2.0	71.67	372.0	30.34	29.67	314.67	8038.67	9183.67	0.67	63.67	3.67	67.34	63.67	64.67	1.67	1.67	1.67	1.67
KS-C2-L5	0.0	0.0	0.0	0.0	0.0	0.0	20.0	20.0	60.0	708.0	717.5	824.0	708.0	711.0	153.0	711.0	711.0	711.0	1390.0	25.0	1.5	6149.51	3180.07	2663.5	59871.08	9523.84	3012.42	915.0	413.67	25665.72	298.0	311.0	311.0	311.0	15219.72	14933.42	19977.62	6635.55	46582.46999999999	3374.67	5881.09	628.0	44141.4	7475.160000000001	35697.65	802.5	802.5	2408.67	103.0	1814.0	7355.37	16493.960000000003	5836.5	150.5	349.0	9104.46	4143.76	2370.5	2.0	967.92	51667.42999999999	461.2	0.0	432.0	22.0	311.0	35.0	8.5	1193.5	58.370000000000005	2867.04	32.870000000000005	22.37	27.62	433.0	408.0	46.0	1365.0	1365.0	1063.0	311.0	0.0	100.0	9.0	16952.9	1365.0	1063.25	9.0	0.0	3395.0	434.5	0.0	1054.0	1074.0	514.25	12.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	99.0	99.0	99.0	99.0	8.0	8.0	44561.1	20839.61	11646.97	91.0	0.0	10036.17	6945.0	6003.0	18997.65	3790.76	2758.92	52469.05999999999	18138.59	19215.59	19518.59	521.0	14017.92	34686.399999999994	3515.25	48844.03999999999	20855.85	20116.34	59288.12999999999	18679.76	7093.7300000000005	4523.17	6.5	0.0	0.0	0.0	4482.84	302.0	0.0	0.0	0.0	0.0	548.3	2577.57	0.0	21.0	35.0	663.55	21.0	21.0	768.1	7125.55	7492.55	78.0	8.0	0.0	8.0	8.0	24.0	9.0	9.0	9.0	9.0
KS-C3-L1	0.0	0.0	0.0	0.0	0.0	0.0	304.5	304.5	721.0	1460.5	1460.5	1533.5	1460.5	1462.5	634.5	1462.5	1462.5	1468.0	483.0	31.0	9.0	19458.35	4525.67	4479.0	44215.37	12795.16	6043.67	2958.0	330.31999999999994	12278.32	416.5	25.0	25.0	25.0	4783.57	4631.57	8037.709999999999	990.32	43900.4	4855.5	9017.34	65.0	43153.23	17210.019999999997	41299.16	1495.5	1495.5	5584.82	468.25	4390.5	7928.01	21355.04	449.0	60.5	31.0	10245.35	10931.06	4950.5	9.0	457.23	47884.890000000014	1750.67	0.0	310.0	27.5	25.0	13.0	40.0	383.0	59.5	2630.32	70.0	40.5	63.0	524.0	521.0	56.0	1499.0	1490.5	1468.5	25.0	0.0	20.0	0.0	10414.78	1493.5	1474.0	0.0	0.0	4411.0	421.5	0.0	1471.0	1706.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	12.0	12.0	12.0	12.0	0.0	0.0	24778.34	10982.1	4792.459999999999	12.0	0.0	3219.32	1509.5	842.5	24026.73	3469.1400000000003	3353.84	52352.97999999999	7861.459999999999	8509.32	8465.46	122.0	2641.32	31870.830000000005	11516.84	51831.41	24007.06	8211.5	59374.85999999999	27910.01	11484.33	4136.99	9.25	8.0	8.0	0.0	4589.139999999999	33.0	0.0	0.0	0.0	0.0	934.17	3170.34	0.0	2.0	85.34	6602.67	0.0	2.0	4969.17	9571.67	9519.17	4.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5	0.0	3.0
KS-C3-L10	0.0	0.0	0.0	0.0	0.0	0.0	23.0	23.0	69.0	637.5	637.5	689.5	637.5	637.5	252.5	637.5	637.5	637.5	449.84	3.0	0.0	2714.5	1191.16	1315.0	56348.50000000001	5868.0	1621.33	1012.5	91.33	19869.33	153.5	511.0	511.0	511.0	18469.33	18351.33	22488.99	12770.83	44903.66000000001	1470.34	2068.0	3799.0	44143.16000000001	3725.0	36086.16	665.5	665.5	1263.33	166.0	1115.5	7847.0	9257.66	16928.0	72.0	533.0	4377.16	3220.33	1270.5	62.0	264.0	50024.66	222.33	2.0	620.33	20.0	511.0	12.0	18.0	365.0	32.33	776.6600000000001	34.33	16.33	35.33	320.0	320.0	24.0	1148.5	1149.5	640.5	512.0	0.0	385.0	4.0	11489.32	1148.5	640.5	3.0	0.0	1429.0	133.0	0.0	637.5	660.5	587.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	517.0	390.0	391.0	390.0	390.0	8.0	8.0	44445.8	25323.99	20170.33	383.0	1.0	15824.83	13175.5	13391.5	15682.5	2040.33	824.3300000000002	46883.490000000005	20752.33	26080.83	26088.83	73.0	18663.83	32795.65000000001	2839.83	60998.01	12635.66	27176.0	57765.830000000016	10353.99	3315.49	1743.33	24.0	2.0	2.0	1.0	4896.66	515.0	4.0	2.0	2.0	2.0	200.0	1452.34	0.0	18.34	38.34	561.5	10.0	10.0	494.84	8330.84	8948.84	38.0	8.0	7.84	12.5	8.0	12.0	3.0	3.0	3.0	3.0
KS-C3-L5	0.0	0.0	0.0	0.0	0.0	0.0	150.5	150.5	407.5	859.5	862.0	930.5	859.5	867.5	348.5	867.5	867.5	876.0	509.0	5.0	2.5	14950.37	4268.120000000001	2939.92	50842.94	13178.21	5010.77	2208.5	495.34	15600.94	584.25	63.0	63.0	63.0	7030.1900000000005	6930.09	11405.72	1695.09	43780.22	4330.5	9213.5	85.0	43099.63	15685.15	40919.9	910.0	910.0	3681.51	341.5	3025.0	8525.119999999999	20580.59	747.0	103.0	86.0	11536.95	7795.87	3795.17	3.0	392.82	50033.31999999999	1098.1	0.0	227.0	24.5	63.0	35.0	108.5	444.5	109.6	3408.94	78.60000000000001	58.60000000000001	60.85000000000001	324.0	319.0	86.75	946.0	929.5	866.5	63.0	0.0	40.0	0.0	14140.71	929.5	875.0	0.0	0.0	4566.0	537.0	0.0	875.0	1005.0	240.5	8.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	53.0	53.0	53.0	53.0	13.0	13.0	34945.770000000004	14776.79	6514.51	40.0	0.0	4557.84	2032.0	1294.0	24388.520000000004	3673.07	2824.3500000000004	52563.77999999999	10411.16	11060.09	10992.16	145.0	4413.09	35001.74	8359.52	43725.91	26137.71	10282.5	58949.90999999999	27395.709999999995	10174.11	4809.09	0.0	0.0	0.0	0.0	5046.35	63.0	0.0	0.0	0.0	0.0	778.6	3304.35	0.0	7.0	129.0	4277.25	8.0	16.0	2640.75	6923.5	6989.5	3.0	13.0	0.0	13.0	13.0	13.0	0.0	0.0	0.0	0.0
KS-C4-L2	0.0	0.0	0.0	0.0	0.0	0.0	221.0	221.0	381.0	911.5	911.5	1123.5	911.5	932.5	390.5	932.5	932.5	932.5	324.33	6.5	0.0	18794.92	5475.2	4086.0	42739.69	11002.929999999998	5530.599999999999	1916.5	148.0	11426.0	287.0	10.0	10.0	10.0	4159.0	3984.5	6416.5	658.33	44527.20999999999	3809.0	9812.5	63.0	43769.38	16678.96	42934.26	1088.5	1088.5	5343.0	215.33	3557.0	8630.759999999998	18342.17	297.0	4.5	10.0	11023.26	9702.32	6279.5	0.0	179.29999999999998	47086.70999999999	996.6	2.0	412.0	42.0	10.0	0.0	114.0	255.0	12.6	1612.6	4.6000000000000005	0.6000000000000001	0.6000000000000001	258.5	253.0	6.0	932.17	925.17	915.17	10.0	0.0	10.0	0.0	7759.0	925.17	915.17	0.0	0.0	2683.0	212.5	0.0	914.5	1042.17	276.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	10.0	0.0	0.0	17211.79	9013.79	3248.79	10.0	0.0	2044.0	1314.0	432.0	22740.22	2181.12	1464.1	51502.07999999998	9204.29	10431.0	10430.29	171.0	3457.0	30200.74	9091.259999999998	49989.02999999998	24904.87999999999	10358.17	58539.919999999984	25387.08999999999	10405.759999999998	2988.5	0.0	0.0	0.0	0.0	4073.0	10.0	0.0	0.0	0.0	0.0	746.0	1977.83	0.0	21.33	247.33999999999995	5737.33	0.0	0.0	3489.33	8522.33	8617.33	11.0	0.0	3.0	3.0	0.0	0.0	0.0	0.67	0.0	0.67
KS-C4-L5	0.0	0.0	0.0	0.0	0.0	0.0	71.5	71.5	211.5	798.5	798.5	972.5	798.5	806.5	236.5	806.5	806.5	808.0	154.33999999999995	9.0	0.4	13124.17	4456.530000000001	3285.4	51128.77999999999	11156.94	3922.1	1493.0	213.0	19662.0	76.0	100.0	100.0	100.0	8938.0	8839.0	12193.5	1774.0	45017.07000000001	3019.6400000000003	7569.5	117.0	44357.600000000006	11454.929999999998	42673.600000000006	963.0	963.0	4211.9	64.17	3432.4	8105.7	16714.1	1249.0	5.5	104.0	9501.66	7496.740000000001	5298.9	0.0	210.83	49054.85999999999	557.0999999999999	0.0	322.5	19.5	100.0	6.0	9.9	137.5	0.7	2528.7	0.7	0.7	0.7	194.0	194.0	1.5	971.0	969.5	872.5	100.0	0.0	44.0	3.0	13091.5	969.5	874.0	3.0	0.0	3436.0	306.0	0.0	871.0	939.5	535.6700000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	41.0	41.0	41.0	41.0	0.0	0.0	27389.0	13369.0	5247.0	41.0	0.0	4301.0	2750.0	1532.0	21568.87	2450.5	1331.53	51770.740000000005	13358.0	14292.0	14298.0	220.0	7822.0	30648.92	7252.77	48417.89000000001	22369.6	15679.5	58995.57000000001	22175.93	8474.59	3253.33	13.0	0.0	0.0	0.0	4324.9	97.0	0.0	0.0	0.0	0.0	566.5	2495.67	0.0	5.84	125.17	3623.67	3.0	3.0	2510.34	7446.84	7629.84	55.0	0.0	3.17	2.5	0.0	3.0	3.0	3.0	3.0	3.0
KS-C5-L1	4.0	4.0	4.0	4.0	4.0	4.0	127.5	127.5	190.5	600.5	600.5	660.5	600.5	613.5	226.5	613.5	613.5	626.0	357.5	15.5	0.0	15816.84	4673.370000000001	2850.5	36516.68	8833.27	4198.02	1338.5	45.0	8627.5	259.5	20.0	20.0	20.0	2982.25	2869.75	4587.17	696.15	44481.77	3146.5	11116.09	22.0	43951.1	17653.61	43134.09	635.5	635.5	3849.0	248.4	2882.5	7561.919999999999	19947.71	557.0	26.0	24.0	13244.01	8305.15	4727.0	2.0	86.27	46637.45999999999	782.1	12.0	150.5	48.5	20.0	17.0	30.0	300.0	20.27	1235.0200000000002	22.27	20.27	27.02	157.5	152.0	17.0	715.3299999999999	702.8299999999999	682.8299999999999	20.0	0.0	32.0	0.0	5730.42	702.8299999999999	693.3299999999999	0.0	0.0	1856.0	90.0	0.0	693.0	740.83	182.25	2.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	20.0	20.0	20.0	20.0	0.0	0.0	13117.86	8634.86	2958.36	20.0	0.0	1819.0	1542.0	528.0	25668.27	1880.18	1104.02	49496.16	7881.11	9201.25	9125.11	145.0	2814.25	28878.45	7771.349999999999	46124.670000000006	25523.52	8864.0	55772.47	24855.34	9389.0	2302.0	0.0	12.0	12.0	0.0	3006.0	32.0	0.0	0.0	0.0	0.0	752.5	2212.98	0.0	21.0	166.66	4397.25	4.0	7.0	2157.5	7009.75	7127.75	2.0	0.0	6.5	6.5	0.0	2.0	0.0	2.33	0.0	2.33
