	mmoX	mmoY	mmoZ	mmoB	mmoC	mmoD	pmoA-amoA	pmoB-amoB	pmoC-amoC	mdh1,mxaF	mxaJ	mxaG	mdh2,mxaI	mxaA	mxaC	mxaK	mxaL	mxaD	fdhA	mdo	gfa	frmA,ADH5,adhC	frmB,ESD,fghA	FDH	fdoG,fdhF,fdwA	fdoH,fdsB	fdoI,fdsG	fdsD	fdhB	fdhA	fdhB	cdhA	cdhB	cdhC	cdhE,acsC	cdhD,acsD	cooS,acsA	cooF	glyA,SHMT	AGXT	hprA	gck,gckA,GLYCTK	ENO,eno	ppc	mdh	mtkB	mtkA	mcl	DAK,TKFC	ALDO	fbaB	FBA,fbaA	K01622	K16305	K16306	FBP,fbp	glpX	glpX-SEBP	fbp-SEBP	fbp3	pfkA,PFK	pfkB	pfkC	hxlB	hxlA	fae-hps	hps-phi	dmd-tmd	tmm	torA	torC	torD	torY	torZ	mauA	mauB	qhpA	fwdA,fmdA	fwdB,fmdB	fwdC,fmdC	fwdD,fmdD	fwdH	fwdF,fmdF	fwdG	fwdE,fmdE	ftr	mch	mtd	frhA	frhB	frhD	frhG	mtdB	fae	mer	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG	mtrH	mcrA	K00400	mcrB	mcrG	mcrC	mcrD	hdrA2	hdrB2	hdrC2	hdrD	hdrE	mvhD,vhuD,vhcD	mvhA,vhuA,vhcA	mvhG,vhuG,vhcG	ackA	pta	pta	ACSS1_2,acs	porA	porB	porC,porG	vorG,porG	porD	pps,ppsA	PGAM,gpmA	gpmB	gpmI	apgM	serA,PHGDH	serC,PSAT1	serB,PSPH	thrH	mtaA	mtaB	mtaC	mtbA	mttB	mttC	mtmB	mtmC	mtbB	mtbC	comA	comB	comC	comD	comE	fbiC	cofH	cofG	cofC,fbiD	cofD	cofE	cofF	aksA	aksD	aksE	aksF	mfnA,adc	mfnD	mfnB	mfnE	mfnF
KS-C5-L5	0.0	0.0	0.0	0.0	0.0	0.0	20.5	20.5	30.0	689.0	689.0	831.0	689.0	689.0	230.0	689.0	689.0	690.5	504.0	8.0	0.6	9601.48	5960.429999999999	4406.43	52803.500000000015	9288.3	5294.63	977.0	113.67	22119.17	82.0	215.0	204.0	210.0	12265.17	12216.17	16092.51	5257.17	45194.91	5719.2	4501.0	703.0	44182.05	7440.44	39397.22	782.0	782.0	4670.1	127.5	3963.6	7198.37	15562.210000000005	4705.5	32.0	269.0	7900.74	4176.219999999999	6147.93	3.0	302.0	49894.96	540.3	11.0	290.5	1.5	216.0	50.0	8.6	413.0	272.2	2359.87	200.2	196.2	196.2	329.0	321.0	52.0	1325.5	1358.0	1181.0	250.0	0.0	152.0	45.0	13360.18	1324.0	1131.5	34.0	12.0	2381.0	82.0	12.0	1097.5	1113.0	521.0	79.0	45.0	45.0	45.0	45.0	34.0	33.0	272.0	140.0	173.0	140.0	140.0	44.0	55.0	29505.2	15702.01	8911.67	140.0	44.0	7058.67	5317.0	4150.0	19182.11	3932.91	1592.7	53141.09999999999	15477.17	16163.17	16587.17	748.0	11431.67	29858.000000000004	5605.95	49408.46	20909.72	19059.0	61761.09	20503.550000000003	9874.14	2951.17	3.5	0.0	0.0	0.0	6026.77	182.5	0.0	0.0	1.0	0.0	244.0	3419.0	0.0	28.0	75.0	774.5	58.0	58.0	1113.5	6233.5	6480.5	17.0	44.0	36.0	46.0	44.0	44.0	34.0	34.0	34.0	34.0
KS-C5-L8	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0	87.0	1698.0	1718.0	1870.0	1698.0	1698.0	941.0	1698.0	1698.0	1702.0	502.5	12.0	3.0	3844.44	1849.7	3213.5	51030.100000000006	6230.44	3210.6	1961.0	50.67	16485.17	33.0	97.66	97.66	97.66	13454.83	13289.0	17845.17	8196.5	44140.62	3838.67	3214.0	2782.0	43161.62	6183.47	34800.21	1781.0	1781.0	2438.17	216.0	2991.5	7444.94	14662.38	11144.0	5.33	128.66	5591.77	4254.38	2911.5	11.0	656.75	49725.630000000005	194.6	0.66	252.33	73.0	97.33	14.33	3.0	403.0	4.1	441.77	4.1	4.1	4.1	1130.0	1119.0	44.0	1917.66	1917.99	1820.66	97.99	0.0	58.66	0.66	10498.84	1917.33	1820.33	0.33	0.33	549.99	42.33	0.33	1817.0	1825.0	153.32999999999998	17.990000000000002	0.33	0.33	0.33	0.33	0.33	0.33	97.66	66.33	66.66	66.33	66.33	8.33	8.33	36668.86	19394.49	15375.33	58.33	0.33	10196.67	8455.5	8223.5	19754.680000000004	3709.66	1040.1	44323.69	16595.0	21155.0	21276.0	29.0	14047.0	28493.95	5818.929999999999	51811.97	16184.62	21930.83	54942.96000000001	15293.37	5183.599999999999	2605.67	20.32	0.99	0.99	0.33	4064.16	98.99	0.66	0.66	3.65	0.99	415.1	2309.7700000000004	0.0	29.67	62.0	595.0	17.66	35.33	655.0	6127.0	6286.0	28.33	8.33	3.5	9.83	8.33	8.33	0.33	3.33	3.33	3.33
MB-C1-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	650.0	650.0	813.0	650.0	650.0	397.0	650.0	650.0	660.0	11.33	1.0	2.0	7096.829999999999	1504.5000000000002	1985.5	51087.09	10763.330000000002	3070.8699999999994	913.0	420.33	19676.870000000003	410.75	311.0	311.0	311.0	8939.5	8461.2	14123.71	2018.7200000000005	43176.94999999999	7033.83	5535.889999999999	695.0	43181.08999999999	9984.830000000002	38743.240000000005	752.0	752.0	2403.83	204.75	2076.0	9240.33	21615.640000000003	1876.5	146.0	509.0	6763.249999999999	7932.48	1901.0	0.0	1237.42	55501.19	703.0000000000001	22.0	578.0	0.0	311.0	250.0	161.0	5.0	94.0	4277.449999999999	119.0	28.0	37.00000000000001	401.0	401.0	0.0	4785.0	4278.0	4355.0	318.0	0.0	159.0	9.0	16680.989999999998	4785.0	4503.12	9.0	0.0	5069.5	673.0	0.0	1087.0	4474.0	678.0	35.0	7.0	7.0	7.0	7.0	7.0	7.0	340.0	207.0	214.0	207.0	207.0	64.0	64.0	41315.47	17520.239999999998	8016.28	150.0	7.0	6392.33	2244.0	2217.0	24439.92	2999.67	2164.75	51254.62	10775.73	12067.08	12481.73	286.0	4976.58	33459.14000000001	5700.499999999999	49849.25	22841.950000000008	16091.0	63411.79	24071.290000000005	5674.079999999999	4623.33	60.0	15.0	22.0	7.0	6111.66	317.0	30.0	14.0	15.0	15.0	444.0	5255.85	0.0	54.33	186.33	3179.5	58.5	56.5	2782.83	7271.83	7882.83	9.0	63.0	13.83	67.0	63.0	85.0	9.0	3186.0	9.0	3396.0
MB-C2-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	397.0	397.0	473.0	397.0	397.0	294.0	397.0	397.0	401.0	32.33	0.0	8.0	1492.0700000000002	367.24	872.0	55970.05	8156.849999999999	1031.37	491.0	451.0	21745.15	42.5	3012.5	3012.5	3012.5	17600.15	17338.0	20112.81	7950.45	43822.170000000006	2885.33	1458.07	3602.0	43709.24	2609.2700000000004	35529.93000000001	401.0	401.0	879.0	91.5	772.0	8151.369999999999	15123.88	12911.0	3.5	3856.0	3990.04	3283.3	828.5	0.0	1479.48	51724.84	136.87	8.0	3978.33	55.16	3012.5	482.5	13.0	39.0	30.87	2677.87	30.87	15.87	26.870000000000005	341.0	341.0	32.0	5254.0	5192.5	2225.0	3019.0	0.0	2104.5	24.0	15461.15	5254.0	2274.0	22.5	0.0	6167.5	267.0	0.0	591.0	2241.5	3325.5	127.0	6.5	6.5	6.5	6.5	6.5	6.5	3221.0	2327.5	2334.0	2327.5	2327.5	250.5	250.5	58315.16	29366.76	18198.36	2083.5	6.5	16983.0	9987.0	12554.0	18119.67	3870.82	174.86999999999998	46417.24	20756.71	23377.0	23757.71	166.0	16481.0	32497.4	1910.2000000000005	50783.63999999999	16153.84	25597.0	58759.14000000001	13464.35	5978.039999999999	2796.0	26.5	14.0	14.0	1.5	5222.0	3002.5	28.0	3.0	14.0	14.0	163.65	2845.43	0.0	16.33	288.83	469.0	147.5	152.5	604.83	6414.83	9999.83	93.0	239.5	8.83	239.5	239.5	265.5	22.5	1624.0	22.5	1673.0
MB-C2-L1-B	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0	52.0	805.0	805.0	981.0	805.0	822.0	525.0	822.0	822.0	833.0	120.0	0.5	57.0	14615.75	3857.38	2653.67	38287.52	10463.39	5502.05	2195.33	310.34000000000003	13182.84	559.75	45.01	44.34	43.67	5037.68	4701.68	8212.48	940.28	43246.96	9265.83	7903.07	148.0	42763.98999999999	16473.25	39391.35	911.0	911.0	3919.34	575.9	3064.0	6300.969999999999	25451.430000000004	405.5	169.67000000000002	92.34	8112.67	9869.06	2824.0	0.0	1493.6699999999998	51665.71	1124.63	11.34	269.17	34.0	43.67	325.67	1056.0	123.0	314.8	2620.81	258.29999999999995	55.8	75.47	521.0	521.0	5.0	4406.34	3694.01	4301.34	45.01	0.0	25.34	14.34	11299.45	4397.67	4374.67	13.67	0.0	4067.68	709.0	0.0	1175.0	4357.0	290.67	13.34	0.67	0.67	0.67	0.67	0.67	0.67	44.34	33.67	34.34	33.67	33.67	22.67	22.67	22981.620000000003	10381.74	4547.56	11.0	0.67	3169.34	1383.0	1260.0	25644.05	3452.57	3883.83	50391.280000000006	5672.469999999999	6700.76	6957.469999999999	191.0	2312.26	30389.64	8310.239999999998	52133.04	23570.490000000005	12383.67	63717.94	28583.590000000004	8589.6	4235.5	42.95	2.01	2.01	0.67	6446.02	31.34	2.68	0.67	4.0200000000000005	1.34	611.5	5260.35	5.0	242.5	362.84	6899.0	35.34	32.67	4495.67	9993.67	10177.67	11.78	28.67	4.17	26.17	22.67	44.67	13.67	2944.67	13.67	3192.67
MB-C3-L1	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	65.5	845.5	845.5	1099.5	845.5	850.5	600.5	850.5	850.5	860.5	69.0	0.0	36.0	12963.850000000002	2664.87	2351.5	41185.420000000006	9953.94	4262.27	1583.0	313.67	14955.17	409.75	56.5	56.5	60.0	6021.92	5638.92	9512.1	1092.84	43297.94999999999	8274.33	7270.67	192.0	42974.69999999999	14525.8	39856.77	970.0	970.0	3557.17	392.92	2623.0	7446.43	23455.3	492.5	41.5	103.5	7158.6	9988.8	2748.0	0.0	1128.93	52959.52999999998	887.2700000000001	18.5	289.0	13.0	56.5	241.5	458.0	98.5	122.1	2759.52	102.1	33.1	47.85000000000001	601.0	601.0	5.5	5153.33	4321.83	5010.33	60.0	0.0	29.5	7.5	12531.6	5153.33	5110.33	7.5	0.0	4334.5	705.5	0.0	1082.5	5105.83	303.0	19.0	3.5	3.5	3.5	3.5	3.5	3.5	61.0	34.5	38.0	34.5	34.5	12.5	12.5	26639.13	11647.44	4978.6	25.5	3.5	3670.67	1451.0	1277.0	25072.45	2771.1000000000004	2888.02	50695.93999999998	7222.6	8649.67	8800.6	224.0	3035.17	30170.1	8390.6	54295.51999999998	21680.369999999995	14703.33	64406.00999999999	27154.77	6923.27	3898.84	21.17	2.0	2.0	0.0	5796.34	51.0	4.0	0.0	2.0	2.0	502.5	5604.75	0.0	142.0	281.33000000000004	6388.5	36.5	38.5	4428.0	9546.0	9753.0	0.0	13.5	18.5	25.5	10.5	20.5	7.5	3793.83	7.5	4021.83
PL-C1-L1	0.0	0.0	0.0	0.0	0.0	0.0	282.0	283.0	676.0	1784.0	1784.0	2017.0	1784.0	1790.0	640.0	1791.0	1791.0	1790.0	152.0	14.0	0.0	14634.67	4692.7	5987.0	49853.18000000001	14362.25	7871.93	5097.0	462.0	16397.9	205.0	73.0	73.0	73.0	5343.15	5250.75	9428.24	1461.96	43449.07000000001	9234.0	7109.610000000001	138.0	43342.66	15008.31	38856.91	1796.0	1796.0	6940.5	143.1	3739.0	7962.93	22827.160000000003	647.5	14.5	96.0	7293.93	9801.08	6779.5	7.0	433.82	48977.640000000014	716.6	8.0	555.0	49.0	73.0	232.0	38.0	123.0	6.1	3334.1	2.1	0.1	0.1	507.0	507.0	39.0	4330.5	4064.5	4258.5	75.0	0.0	32.0	2.0	10944.15	4327.5	4257.5	2.0	0.0	4755.0	553.5	0.0	1845.0	4475.5	720.25	6.0	2.0	2.0	2.0	2.0	2.0	2.0	73.0	36.0	38.0	36.0	36.0	8.0	8.0	29769.49	11144.09	5465.19	30.0	2.0	4338.0	1374.0	1153.0	23850.430000000004	5561.0	1476.68	54826.97	7364.79	7807.5	7903.79	219.0	2386.5	28129.34	12107.18	53277.21	19207.58	9376.0	68738.38999999998	26943.51	11431.43	4569.0	15.5	4.0	6.0	6.0	4782.0	79.0	8.0	8.0	4.0	4.0	815.4	4449.69	0.0	32.0	96.67	5180.08	7.0	6.0	5180.83	11140.08	11126.08	22.0	8.0	2.0	8.0	8.0	9.0	2.0	2202.5	2.0	2412.5
PL-C1-L4	10.0	10.0	10.0	10.0	10.0	0.0	195.0	195.0	475.0	2011.5	2011.5	2337.5	2011.5	2011.5	628.5	2011.5	2011.5	2013.5	78.5	0.0	0.0	10219.11	3008.2	5496.25	58906.59	13646.309999999998	5915.600000000002	4331.5	319.33	20171.380000000005	157.0	451.0	451.0	451.0	10618.13	10478.08	15898.2	4493.4800000000005	43703.26000000001	6934.58	5305.77	851.0	43485.02	11154.529999999995	38392.32000000001	2041.5	2041.5	5968.33	155.25	3332.75	8441.100000000002	18856.53	4277.0	22.5	538.0	6417.100000000002	8353.2	5418.0	7.0	502.39	51511.05000000001	462.1000000000001	0.0	1023.0	90.0	451.0	125.0	3.0	46.0	11.6	3819.68	9.6	8.6	8.6	539.0	539.0	7.25	3832.33	3768.33	3387.33	451.0	0.0	207.0	10.0	14839.12	3832.33	3397.08	10.0	0.0	5217.0	347.5	0.0	2060.5	3540.33	905.33	14.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	238.0	238.0	238.0	238.0	41.0	41.0	44151.06	19253.2	10413.24	197.0	0.0	8922.33	4220.0	4231.0	20763.25	5085.29	1180.1799999999998	54184.95	12753.94	13698.33	13819.94	480.0	7272.33	32608.6	9993.69	52822.990000000005	19115.52	14073.1	65742.56000000001	22928.529999999995	8954.199999999999	4451.08	56.5	3.0	3.0	0.0	5396.66	444.0	6.0	0.0	3.0	3.0	689.55	3631.04	0.0	10.0	85.0	3662.83	30.0	32.0	3893.16	9622.83	10076.83	79.34	38.0	0.0	38.0	38.0	53.0	10.0	1280.8300000000002	10.0	1332.8300000000002
PL-C1-L7	0.0	0.0	0.0	0.0	0.0	0.0	9.34	9.34	25.34	112.67	112.67	112.67	112.67	112.67	4.67	112.67	112.67	113.34	15.0	0.0	0.0	759.8199999999999	294.90000000000003	417.67	62649.85	6273.889999999999	414.4899999999999	310.17	305.0	23008.640000000003	17.5	1846.0	1846.0	1846.0	27004.27	26905.87	31777.66	17708.370000000003	44287.380000000005	759.1700000000001	591.9	3442.0	44051.21	1551.26	39611.00000000001	112.67	112.67	374.0	20.5	240.17	7033.86	7775.049999999998	21933.0	3.5	2265.0	4771.03	1338.9299999999998	390.0	0.0	261.49	52785.060000000005	102.20000000000002	3.0	2368.84	56.84	1846.0	228.67	0.0	9.0	5.700000000000001	1293.32	5.700000000000001	5.700000000000001	5.700000000000001	0.0	0.0	0.0	2373.67	2364.67	535.6700000000001	1849.0	0.0	987.0	5.0	16442.27	2373.67	545.96	5.0	0.0	3596.0	166.5	0.0	113.34	536.34	2049.0	89.0	3.0	3.0	3.0	3.0	3.0	3.0	1959.0	1119.0	1122.0	1119.0	1119.0	140.0	140.0	68121.31999999999	38491.3	29804.9	982.0	3.0	24755.0	20029.0	20805.0	11480.55	2844.91	102.2	46756.47000000001	29285.5	31682.5	31977.5	26.0	26639.5	43291.56	1156.7	59923.05	12627.71	34644.9	56746.04	10229.22	3364.6000000000004	1632.5	11.5	0.0	0.0	0.0	3743.0	1841.0	0.0	0.0	0.0	0.0	72.4	2478.4	0.0	12.0	154.0	135.0	100.0	104.0	301.0	4910.0	7021.0	43.0	140.0	3.0	140.0	140.0	154.0	5.0	408.0	5.0	420.0
PL-C2-L1	15.0	15.0	15.0	15.0	15.0	0.0	235.0	235.0	465.0	2194.5	2194.5	2453.5	2194.5	2194.5	587.5	2194.5	2194.5	2197.5	186.67	18.0	0.0	16652.82	4911.0	6245.0	35929.93000000001	11948.47	7675.83	4199.0	67.0	6831.8	113.0	13.0	13.0	13.0	1348.8	1293.5	2371.1	268.0	43620.780000000006	8884.66	7252.0	39.0	43347.46000000001	15578.84	40823.29000000001	2306.5	2306.5	7109.5	440.83	5793.0	7483.51	22551.62	199.0	0.0	26.0	7834.17	11620.13	7532.5	14.0	196.83	46861.1	670.5	0.0	678.3299999999999	20.33	13.0	481.0	0.0	106.0	24.5	781.0	38.5	0.5	14.5	495.0	491.0	8.0	5535.49	4872.49	5511.49	13.0	0.0	0.0	0.0	3425.3	5535.49	5522.49	0.0	0.0	1718.0	57.0	0.0	2205.0	5677.49	268.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	10.0	10.0	10.0	10.0	10.0	7242.9	3983.1	1666.8	0.0	0.0	875.0	375.0	130.0	25236.62	3299.33	822.3299999999999	52105.09	5926.0	6643.0	6389.0	42.0	1106.0	20002.86	12842.16	51963.08	19820.64	11157.49	64510.08999999998	24933.660000000003	11996.34	2045.0	0.0	0.0	0.0	0.0	2942.5	13.0	0.0	0.0	0.0	0.0	1270.3	4776.79	0.0	33.67	367.34	5815.16	3.0	15.0	5047.5	9404.5	9125.5	41.0	10.0	10.34	10.0	10.0	10.0	0.0	2869.99	3.0	3317.49
PL-C2-L1-B	25.0	25.0	25.0	25.0	25.0	0.0	348.0	348.0	702.0	2236.0	2258.0	2504.0	2236.0	2236.0	824.0	2236.0	2236.0	2236.0	177.32000000000002	21.5	12.0	20882.01	4389.28	5591.0	33205.000000000015	10994.8	7237.77	4506.5	51.0	6298.55	128.5	27.0	27.0	27.0	1025.8	957.75	1832.05	239.65	44004.26000000002	8570.06	5824.63	22.0	43326.59000000002	15587.78	40129.77000000002	2313.5	2313.5	7958.5	528.1	5985.75	6184.56	24284.210000000003	174.0	4.0	33.0	5966.32	15303.46	7364.5	36.5	387.46	46263.24000000002	650.6	4.0	991.5	151.5	27.0	253.0	18.0	127.5	17.1	509.6	33.1	13.1	34.1	665.0	665.0	13.5	5629.99	5041.99	5582.99	27.0	0.0	7.0	0.0	2676.05	5629.99	5602.99	0.0	0.0	2213.5	56.5	0.0	2237.0	5834.99	304.34000000000003	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	9.0	9.0	9.0	2.0	2.0	4844.65	2572.35	1061.55	7.0	0.0	609.5	279.5	138.5	23861.88000000001	3373.15	1316.85	53100.29000000002	4416.0	4894.0	4787.67	60.0	834.0	18036.23	13950.78	59955.67000000001	17452.089999999997	9748.99	64767.99000000003	24530.910000000003	11497.66	1491.83	37.75	0.0	0.0	0.0	2821.5	27.0	0.0	0.0	0.0	0.0	1869.55	4869.35	8.0	70.82	273.48	9783.34	20.5	20.5	9194.66	13783.16	12995.16	75.0	2.0	18.32	4.0	2.0	2.0	0.0	3135.49	0.0	3365.99
PL-C2-L4	0.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	42.0	892.0	892.0	981.0	892.0	892.0	100.0	892.0	892.0	892.0	48.7	0.0	0.0	3889.61	478.3999999999999	2217.2	53993.21000000001	8460.08	1763.95	1245.0	270.0	21899.8	19.0	903.0	903.0	903.0	12755.05	10239.75	15561.21	3978.17	44291.780000000006	3232.87	1722.5	1354.0	43435.45	4855.26	36987.53	916.0	916.0	1814.0	55.3	1125.0	6836.73	23512.95	4177.0	0.0	942.0	3253.03	5457.849999999999	1437.0	0.0	302.87	57016.72	135.2	6.0	1060.0	27.0	903.0	33.0	0.0	0.0	18.2	2721.33	14.199999999999998	12.199999999999998	12.199999999999998	89.0	89.0	0.0	3193.17	3184.17	2299.17	909.0	0.0	93.0	7.0	15213.569999999996	3193.17	2305.92	7.0	0.0	3967.0	262.0	0.0	1082.0	2304.17	1153.83	16.0	6.0	6.0	6.0	6.0	6.0	6.0	912.0	92.0	98.0	92.0	92.0	12.0	12.0	44580.35	18573.3	11047.0	86.0	6.0	8131.0	3739.0	4326.0	21586.219999999998	4966.42	273.03	48700.85999999999	11744.12	12457.12	12713.12	386.0	7876.12	32512.17	4375.530000000001	55097.98999999999	22020.95	15426.17	60742.81	19418.11	7456.03	2875.5	32.620000000000005	5.62	0.0	0.0	6322.24	896.0	0.0	0.0	0.0	0.0	678.0	3209.04	0.0	19.0	32.0	1639.33	11.0	11.0	1938.16	9467.33	10460.33	87.0	12.0	23.5	12.5	12.0	13.0	7.0	1208.17	7.0	1215.17
